2022-07-04 20:13:30.896 INFO  7856 --- [main] com.example.wj.WjApplication - Starting WjApplication using Java 1.8.0_291 on DESKTOP-63DTMM7 with PID 7856 (E:\springboot\vue\Vue\wj\target\classes started by lhaisong_xiaoxin in E:\springboot\vue\Vue\wj)
2022-07-04 20:13:30.899 INFO  7856 --- [main] com.example.wj.WjApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-04 20:13:34.716 INFO  7856 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (http)
2022-07-04 20:13:34.867 INFO  7856 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8443"]
2022-07-04 20:13:34.868 INFO  7856 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-04 20:13:34.875 INFO  7856 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-04 20:13:35.067 INFO  7856 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-04 20:13:35.067 INFO  7856 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4073 ms
2022-07-04 20:13:35.487 INFO  7856 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8443"]
2022-07-04 20:13:35.505 INFO  7856 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8443 (http) with context path ''
2022-07-04 20:13:35.518 INFO  7856 --- [main] com.example.wj.WjApplication - Started WjApplication in 5.029 seconds (JVM running for 7.384)
2022-07-04 20:13:50.437 INFO  7856 --- [http-nio-8443-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-04 20:13:50.438 INFO  7856 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-04 20:13:50.439 INFO  7856 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-07-04 20:13:50.479 WARN  7856 --- [http-nio-8443-exec-2] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-07-04 20:25:53.992 INFO  14208 --- [main] com.example.wj.WjApplication - Starting WjApplication using Java 1.8.0_291 on DESKTOP-63DTMM7 with PID 14208 (E:\springboot\vue\Vue\wj\target\classes started by lhaisong_xiaoxin in E:\springboot\vue\Vue\wj)
2022-07-04 20:25:53.996 INFO  14208 --- [main] com.example.wj.WjApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-04 20:25:55.192 INFO  14208 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (http)
2022-07-04 20:25:55.201 INFO  14208 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8443"]
2022-07-04 20:25:55.202 INFO  14208 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-04 20:25:55.203 INFO  14208 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-04 20:25:55.352 INFO  14208 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-07-04 20:25:55.353 INFO  14208 --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1274 ms
2022-07-04 20:25:55.678 INFO  14208 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8443"]
2022-07-04 20:25:55.695 INFO  14208 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8443 (http) with context path ''
2022-07-04 20:25:55.705 INFO  14208 --- [main] com.example.wj.WjApplication - Started WjApplication in 2.166 seconds (JVM running for 4.134)
2022-07-04 20:26:22.467 INFO  14208 --- [http-nio-8443-exec-1] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-04 20:26:22.467 INFO  14208 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-04 20:26:22.468 INFO  14208 --- [http-nio-8443-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-07-04 20:26:22.496 WARN  14208 --- [http-nio-8443-exec-1] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2022-07-04 20:31:19.717 INFO  29268 --- [main] com.example.wj.WjApplication - Starting WjApplication using Java 1.8.0_291 on DESKTOP-63DTMM7 with PID 29268 (E:\springboot\vue\Vue\wj\target\classes started by lhaisong_xiaoxin in E:\springboot\vue\Vue\wj)
2022-07-04 20:31:19.720 INFO  29268 --- [main] com.example.wj.WjApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-04 20:31:20.669 INFO  29268 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (http)
2022-07-04 20:31:20.676 INFO  29268 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8443"]
2022-07-04 20:31:20.676 INFO  29268 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-07-04 20:31:20.677 INFO  29268 --- [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-07-04 20:31:20.816 INFO  29268 --- [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
